compound_name,canonical_smiles,inchikey,source_db,species,rejection_reason
,C=C[C@](C)(O)CC/C=C(\C)C(=O)OC[C@H]1O[C@@H](OC(=O)[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](CO[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6N=C(C)O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)C[C@H]3O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@H]2O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC(C)=O,NIOYYWCFXFCIIN-BSMRAXQZSA-N,NPASS,Magnolia montana,mw_above_1500.0
,COC1=CC2=c3cc4ccc(c(c4c[n+]3CCC2=CC1=O)OC)OC,,NPASS,Magnolia biondii,unparseable_smiles
,N=C1N[C@@H]2O[C@@H]3NC(=N)N[C@]34[C@H]([C@H](CNC(=O)c3cc(Br)c(Br)[nH]3)[C@@H](CNC(=O)c3cc(Br)c(Br)[nH]3)[C@@H]4O[C@H]3[C@H](CNC(=O)c4cc(Br)c(Br)[nH]4)[C@@H](CNC(=O)c4cc(Br)c(Br)[nH]4)[C@@H]4[C@]5(O)NC(=N)N[C@@H]5O[C@@H]5NC(=N)N[C@]453)[C@]2(O)N1,YJHWJTAJYZABEV-TXKCMVHWSA-N,NPASS,Magnolia praecocissima,mw_above_1500.0
,C=C[C@@](C)(O)CC/C=C(\C)C(=O)OC[C@@H]1O[C@H](OC(=O)[C@@]23CCC(C)(C)C[C@@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@@H](CO[C@H]7OC[C@H](O)[C@@H](O)[C@@H]7O[C@H]7OC[C@H](O)[C@@H](O)[C@@H]7O)[C@H](O[C@H]7O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]7O)[C@@H](O)[C@@H]6N=C(C)O)C(C)(C)[C@@H]5CC[C@]4(C)[C@@]2(C)CC3)[C@@H](O[C@H]2OC[C@H](O)[C@@H](O[C@H]3OC[C@@](O)(CO)[C@@H]3O)[C@@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1OC(C)=O,PRYBENUZOCAPGE-ZPYBVSOMSA-N,NPASS,Magnolia montana,mw_above_1500.0
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,NPASS,Magnolia x alba,primary_metabolite
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,NPASS,Magnolia sumatrana var. glauca,primary_metabolite
,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,NPASS,Magnolia hypolampra,primary_metabolite
,n.a.,,NPASS,Michelia x alba,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia laevifolia,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)[O-],DTOSIQBPPRVQHS-PDBXOOCHSA-M,NPASS,Magnolia sumatrana var. glauca,primary_metabolite
,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)[O-],DTOSIQBPPRVQHS-PDBXOOCHSA-M,NPASS,Magnolia hypolampra,primary_metabolite
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia sumatrana var. glauca,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,C#CC(C)C,USCSRAJGJYMJFZ-UHFFFAOYSA-N,NPASS,Magnolia hypolampra,mw_below_100.0
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Magnolia hypolampra,unparseable_smiles
,n.a.,,NPASS,Michelia shiluensis,unparseable_smiles
,n.a.,,NPASS,Michelia shiluensis,unparseable_smiles
,n.a.,,NPASS,Michelia shiluensis,unparseable_smiles
,O=C(O)C=CC(=O)O,,NPASS,Michelia longifolia,unparseable_smiles
chlorane,Cl,,PubChem,Magnolia sp.,unparseable_smiles
ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,PubChem,Magnolia sp.,mw_below_100.0
iodane,I,,PubChem,Magnolia sp.,unparseable_smiles
