component,explained_variance_ratio,cumulative
PC1,0.5222442109594695,0.5222442109594695
PC2,0.1915013524978343,0.7137455634573038
PC3,0.15236562409399212,0.8661111875512959
PC4,0.08441125286764949,0.9505224404189454
PC5,0.021737293624696133,0.9722597340436415
