inchikey,inchikey_connectivity,source_db,source_id,species_reported,species_accepted,plant_part,doi,evidence_tier,query_term,query_date
WKHHFWJJIRCXHA-INIZCTEOSA-N,WKHHFWJJIRCXHA,ChEMBL,CHEMBL225852,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
ZYKCETVKVRJFGD-UHFFFAOYSA-N,ZYKCETVKVRJFGD,ChEMBL,CHEMBL470881,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
QJDYNQYLCIPODD-SWBPCFCJSA-N,QJDYNQYLCIPODD,ChEMBL,CHEMBL512458,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
QJDYNQYLCIPODD-SWBPCFCJSA-N,QJDYNQYLCIPODD,ChEMBL,CHEMBL468389,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
JCBUXRPOTHJGDK-RACLHMPKSA-N,JCBUXRPOTHJGDK,ChEMBL,CHEMBL513850,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
SOMHCTSZFQAYCX-SWKHDPQKSA-N,SOMHCTSZFQAYCX,ChEMBL,CHEMBL468210,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
RUZIUYOSRDWYQF-HNNXBMFYSA-N,RUZIUYOSRDWYQF,ChEMBL,CHEMBL1788155,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=glaucine,2026-05-28T23:15:56Z
VIXJOADGRAEDNE-HNNXBMFYSA-N,VIXJOADGRAEDNE,ChEMBL,CHEMBL332493,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=isocorydine,2026-05-28T23:15:56Z
QELDJEKNFOQJOY-ZDUSSCGKSA-N,QELDJEKNFOQJOY,ChEMBL,CHEMBL489525,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=isocorydine,2026-05-28T23:15:56Z
QELDJEKNFOQJOY-ZDUSSCGKSA-N,QELDJEKNFOQJOY,ChEMBL,CHEMBL2165400,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=isocorydine,2026-05-28T23:15:56Z
HRYLQFBHBWLLLL-AHNJNIBGSA-N,HRYLQFBHBWLLLL,ChEMBL,CHEMBL86416,Magnolia sp.,Magnolia sp.,,,silver,pref_name__icontains=costunolide,2026-05-28T23:15:56Z
