compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia praecocissima,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia stellata,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia pterocarpa,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia fargesii,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia coco,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Eudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000640,Magnolia biondii,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnolin,,,,C23H28O7,0.0,KNApSAcK,C00000641,Magnolia fargesii,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnolin,,,,C23H28O7,0.0,KNApSAcK,C00000641,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnolin,,,,C23H28O7,0.0,KNApSAcK,C00000641,Magnolia biondii,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Yangambin,,,,C24H30O8,0.0,KNApSAcK,C00000642,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Yangambin,,,,C24H30O8,0.0,KNApSAcK,C00000642,Magnolia biondii,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Yangambin,,,,C24H30O8,0.0,KNApSAcK,C00000642,Magnolia fargesii,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Yangambin,,,,C24H30O8,0.0,KNApSAcK,C00000642,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusin,,,,C21H22O6,0.0,KNApSAcK,C00000643,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusin,,,,C21H22O6,0.0,KNApSAcK,C00000643,Magnolia fargesii CHENG,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusin,,,,C21H22O6,0.0,KNApSAcK,C00000643,Magnolia stellata,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusin,,,,C21H22O6,0.0,KNApSAcK,C00000643,Magnolia praecocissima,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusin,,,,C21H22O6,0.0,KNApSAcK,C00000643,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusinol A,,,,C21H26O6,0.0,KNApSAcK,C00000644,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
Kobusinol B,,,,C22H28O7,0.0,KNApSAcK,C00000645,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
Phillygenin,,,,C21H24O6,0.0,KNApSAcK,C00000647,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
Phillygenin,,,,C21H24O6,0.0,KNApSAcK,C00000647,Magnolia fargesii,,,gold,Magnolia,2026-05-28T23:05:25Z
Medioresinol,,,,C21H24O7,0.0,KNApSAcK,C00000659,Magnolia grandiflora var. rubra,,,gold,Magnolia,2026-05-28T23:05:25Z
Medioresinol,,,,C21H24O7,0.0,KNApSAcK,C00000659,Magnolia kobus var. borealis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Denudatin B,,,,C21H24O5,0.0,KNApSAcK,C00000671,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Denudatin B,,,,C21H24O5,0.0,KNApSAcK,C00000671,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Dihydroquercetin,,,,C15H12O7,0.0,KNApSAcK,C00000677,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Dihydroquercetin,,,,C15H12O7,0.0,KNApSAcK,C00000677,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Licarin B,,,,C20H20O4,0.0,KNApSAcK,C00000696,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Epieudesmin,,,,C22H26O6,0.0,KNApSAcK,C00000698,Magnolia coco,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnoshinin,,,,C24H30O6,0.0,KNApSAcK,C00000725,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
Magnosalin,,,,C24H32O6,0.0,KNApSAcK,C00000726,Magnolia salicifolia,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Pinene,,,,C10H16,0.0,KNApSAcK,C00000805,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Pinene,,,,C10H16,0.0,KNApSAcK,C00000805,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(-)-beta-Pinene,,,,C10H16,0.0,KNApSAcK,C00000806,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
beta-Pinene,,,,C10H16,0.0,KNApSAcK,C00000816,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
(+)-Camphor,,,,C10H16O,0.0,KNApSAcK,C00000819,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Limonene,,,,C10H16,0.0,KNApSAcK,C00000823,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Limonene,,,,C10H16,0.0,KNApSAcK,C00000823,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
3-Carene,,,,C10H16,0.0,KNApSAcK,C00000839,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
beta-Myrcene,,,,C10H16,0.0,KNApSAcK,C00000853,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
4-hydroxybenzoic acid,,,,C7H6O3,0.0,KNApSAcK,C00000856,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
4-hydroxybenzoic acid,,,,C7H6O3,0.0,KNApSAcK,C00000856,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
alpha-Terpinolene,,,,C10H16,0.0,KNApSAcK,C00000861,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
trans-beta-Ocimene,,,,C10H16,0.0,KNApSAcK,C00000862,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Naringenin,,,,C15H12O5,0.0,KNApSAcK,C00000982,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Naringenin,,,,C15H12O5,0.0,KNApSAcK,C00000982,Magnolia liliiflora,,,gold,Magnolia,2026-05-28T23:05:25Z
Linoleic acid,,,,C18H32O2,0.0,KNApSAcK,C00001224,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Oleic acid,,,,C18H34O2,0.0,KNApSAcK,C00001232,Magnolia officinalis,,,gold,Magnolia,2026-05-28T23:05:25Z
Naphthalene,,,,C10H8,0.0,KNApSAcK,C00001259,Magnolia denudata,,,gold,Magnolia,2026-05-28T23:05:25Z
Naphthalene,,,,C10H8,0.0,KNApSAcK,C00001259,Magnolia tomentosa,,,gold,Magnolia,2026-05-28T23:05:25Z
Naphthalene,,,,C10H8,0.0,KNApSAcK,C00001259,Magnolia praecocissima,,,gold,Magnolia,2026-05-28T23:05:25Z
