compound_name,canonical_smiles,inchi,inchikey,molecular_formula,molecular_weight,source_db,source_id,species,plant_part,doi,evidence_tier,query_term,query_date
2-phenylethyl 1H-indol-3-yl-acetate,C1=CC=C(C=C1)CCOC(=O)CC2=CNC3=CC=CC=C32,"InChI=1S/C18H17NO2/c20-18(21-11-10-14-6-2-1-3-7-14)12-15-13-19-17-9-5-4-8-16(15)17/h1-9,13,19H,10-12H2",IRHVVAKMDAHHAI-UHFFFAOYSA-N,C18H17NO2,279.339,NPAtlas,NPA017450,Colletotrichum gloeosporioides,,10.3390/molecules191119243,gold,bulk_tsv_filter~magnolia_associated,2026-05-28T23:18:37Z
(2-(hydroxyimino)-3-phenylpropanoyl)-L-phenylalanine,O=C(N[C@@H](CC1=CC=CC=C1)C(=O)O)/C(CC1=CC=CC=C1)=N\O,"InChI=1S/C18H18N2O4/c21-17(15(20-24)11-13-7-3-1-4-8-13)19-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,16,24H,11-12H2,(H,19,21)(H,22,23)/b20-15-/t16-/m0/s1",FQEAIFWZMCBUMX-UKEODDKASA-N,C18H18N2O4,326.352,NPAtlas,NPA034753,Unknown sp. BMC-101,,10.1080/10286020.2022.2151442,gold,bulk_tsv_filter~magnolia_associated,2026-05-28T23:18:37Z
8-acetyl-bisdethiobis(methylsulfanyl)apoaranotin,CS[C@@]12CC3=CC=C[C@H](OC(C)=O)[C@H]3N1C(=O)[C@]1(SC)CC3=COC=C[C@H](O)[C@H]3N1C2=O,"InChI=1S/C22H24N2O6S2/c1-12(25)30-16-6-4-5-13-9-21(31-2)19(27)23-17-14(11-29-8-7-15(17)26)10-22(23,32-3)20(28)24(21)18(13)16/h4-8,11,15-18,26H,9-10H2,1-3H3/t15-,16-,17-,18-,21+,22+/m0/s1",FAMHWVZIZCPTMB-NEEVBFIGSA-N,C22H24N2O6S2,476.576,NPAtlas,NPA034754,Unknown sp. BMC-101,,10.1080/10286020.2022.2151442,gold,bulk_tsv_filter~magnolia_associated,2026-05-28T23:18:37Z
