molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,target
719.7910000000004,2.0591700000000053,9,8,2.0,0.05131579960256296,3,240.43,0,3,0,0.64665985,0.12811981,0.40894884,0.0068122996,0.058547847,0.019713718,0.0329462,0.060079522,0.2853406,0.48247647,0.7337228,0.08404305,0.2696666,0.3490878,0.36679366,0.119171545,0.12314737,0.018214982,0.06819381,0.084957376,0.15524065,0.020546217,0.091283746,0.1669639,0.20815583,0.08091645,0.028216522,0.047791503,0.28349072,0.438529,0.8248354,-7.554615,-1.1399361,53.422005,-2.0604825,-33.868874,2.632296,0.15016189,62.194935,-2.8064835,2.8582788,93.1810193321617,45.51845342706503,88.08435852372584,95.78207381370827,8.927943760984183,2.8471001757469248,76.60808435852373,94.79789103690686,47.59226713532514,96.62565905096662,37.188049209138846,88.8224956063269,9.52548330404218,12.79437609841828,27.135325131810195,42.6713532513181,12.548330404217927,49.2091388400703,33.743409490333924,76.41476274165203,53.77855887521969,89.27943760984184,25.553602811950793,76.52021089630932,46.67838312829526,13.251318101933217,90.75571177504395,92.72407732864676,48.01405975395431,69.03339191564149,84.32337434094904,76.06326889279438,68.54130052724078,16.94200351493849,59.507908611599305,62.601054481546576,83.02284710017575,60.913884007029885,54.27065026362039,89.77152899824254,39.015817223198596,81.05448154657294,4.1124780316344465,14.586994727592268,71.03690685413005,18.629173989455186,4.428822495606327,62.03866432337435,33.04042179261863,38.13708260105449,56.02811950790861,61.86291739894553,NS2B-NS3
718.8030000000003,2.6641700000000057,8,8,2.0,0.05210074925262656,3,227.54,0,3,0,0.5878615,0.13018665,0.3850421,0.012247273,0.06476258,0.019520983,0.03222885,0.08831677,0.31241482,0.47880942,0.7672969,0.079358146,0.22782762,0.2696256,0.41554108,0.11095913,0.123266496,0.026434124,0.07509117,0.08736984,0.17172666,0.019126948,0.123372,0.21054058,0.1970888,0.07188997,0.03162901,0.060945142,0.22611292,0.43978614,0.8560928,-7.4877625,0.7793163,53.030785,-0.60909194,-33.335648,2.6160913,0.2774276,64.158936,-2.8903937,2.4276562,93.1810193321617,55.81722319859403,84.51669595782074,95.78207381370827,8.927943760984183,2.9173989455184537,76.60808435852373,94.51669595782074,47.59226713532514,96.62565905096662,37.188049209138846,85.23725834797892,9.630931458699473,12.126537785588754,32.196836555360285,44.42882249560633,12.478031634446399,48.99824253075572,44.07732864674868,77.71528998242532,53.427065026362044,90.12302284710019,24.42882249560633,72.9701230228471,40.98418277680141,14.305799648506152,90.33391915641477,92.72407732864676,53.46221441124781,70.57996485061513,84.99121265377856,79.43760984182778,67.34622144112478,18.453427065026364,63.16344463971881,61.05448154657294,81.54657293497364,63.02284710017575,57.39894551845343,86.39718804920915,39.19156414762742,83.33919156414764,4.323374340949034,15.53602811950791,70.896309314587,20.984182776801408,4.569420035149386,61.230228471001766,34.340949033391915,40.28119507908612,54.79789103690686,58.699472759226715,NS2B-NS3
644.7770000000003,1.5838700000000054,7,8,2.0,0.054148405071146904,3,227.54,0,3,0,0.52767676,0.12647639,0.33648437,0.0028658789,0.030004103,0.016196687,0.013040054,0.06339814,0.24986239,0.30476487,0.4109477,0.07679889,0.19918808,0.16289297,0.2947112,0.06747807,0.14043102,0.012545663,0.020704541,0.06834745,0.21417415,0.006296207,0.041922938,0.06846325,0.070139065,0.03025437,0.009821492,0.012405616,0.07364856,0.46865052,0.72514355,-7.634089,1.028157,49.618004,-7.4256487,-34.452232,2.5622604,-0.40362626,48.734974,-2.5903585,1.4175502,91.77504393673111,39.015817223198596,79.85940246045695,95.78207381370827,8.927943760984183,3.0228471001757473,76.60808435852373,94.51669595782074,47.59226713532514,96.62565905096662,37.188049209138846,80.84358523725835,9.455184534270652,10.509666080843585,20.77328646748682,31.950790861159934,11.072056239015819,35.64147627416521,34.797891036906854,74.37609841827769,37.961335676625666,79.40246045694201,23.866432337434098,69.84182776801407,29.771528998242534,12.09138840070299,86.99472759226714,93.14586994727593,42.84710017574693,50.82601054481547,81.195079086116,85.0615114235501,49.63093145869948,12.934973637961336,49.03339191564148,34.692442882249566,69.94727592267137,41.0896309314587,37.609841827768015,67.27592267135326,42.84710017574693,73.74340949033393,3.9015817223198597,15.571177504393674,68.33040421792619,10.404217926186293,4.253075571177504,57.328646748681905,24.850615114235502,27.205623901581724,60.00000000000001,50.72056239015818,NS2B-NS3
681.8200000000002,1.0489700000000053,10,8,2.0,0.04780745451357517,3,249.66,0,3,0,0.59798276,0.10934359,0.38434106,0.0024275067,0.048764925,0.019792736,0.03287255,0.0512753,0.2403162,0.4572032,0.7288337,0.0793851,0.27392635,0.3390349,0.44222513,0.09602487,0.11763726,0.018749839,0.044148006,0.06763305,0.1290746,0.011956686,0.061317243,0.13371983,0.15933023,0.055394083,0.02116945,0.025270503,0.20732446,0.39874038,0.81020355,-7.7184286,3.6621609,54.416443,-9.70566,-35.599564,2.4749064,-0.661271,46.13516,-2.4839363,3.303477,92.72407732864676,32.23198594024605,90.45694200351495,95.78207381370827,8.927943760984183,2.706502636203867,76.60808435852373,95.04393673110721,47.59226713532514,96.62565905096662,37.188049209138846,85.79964850615114,8.260105448154658,12.126537785588754,19.156414762741655,39.85940246045695,12.583479789103691,49.2091388400703,30.579964850615116,73.88400702987698,51.07205623901582,89.17398945518454,24.42882249560633,77.01230228471002,45.90509666080844,14.797891036906856,89.87697715289983,92.37258347978911,48.506151142355016,61.47627416520211,81.01933216168717,69.03339191564149,60.913884007029885,14.833040421792619,56.48506151142355,56.098418277680146,78.73462214411248,56.27416520210897,45.27240773286468,85.37785588752197,33.708260105448154,79.96485061511424,3.796133567662566,18.031634446397188,71.70474516695958,7.978910369068542,4.042179261862918,52.337434094903344,21.47627416520211,25.096660808435853,61.75746924428823,64.88576449912127,NS2B-NS3
720.6840000000002,2.3471700000000038,9,8,2.0,0.05144008286588084,3,240.43,0,3,0,0.64760053,0.1447163,0.35464644,0.03235649,0.13280061,0.03177418,0.08874313,0.06486299,0.50651675,0.50592434,0.776631,0.16363056,0.2889974,0.3781984,0.32817173,0.1401333,0.08482398,0.031363856,0.0988602,0.10640667,0.13944958,0.039287847,0.08783219,0.17896417,0.29796928,0.11399384,0.057716776,0.06108452,0.36433655,0.49420673,0.8500384,-7.4694886,1.3062721,49.36928,10.582108,-34.50657,2.5534282,0.14069939,66.40047,-2.648854,7.199945,93.21616871704747,49.595782073813716,88.08435852372584,95.78207381370827,8.927943760984183,2.8471001757469248,76.60808435852373,94.79789103690686,47.59226713532514,96.62565905096662,37.188049209138846,88.92794376098419,10.404217926186293,10.93145869947276,41.86291739894552,57.04745166959579,16.414762741652023,64.21792618629175,35.18453427065027,85.51845342706504,56.660808435852374,90.4042179261863,49.84182776801406,78.38312829525483,48.471001757469246,12.759226713532515,91.52899824253076,88.89279437609842,56.27416520210897,75.04393673110721,87.1353251318102,72.16168717047452,77.01230228471002,16.731107205623903,60.35149384885765,70.43936731107206,87.76801405975397,75.28998242530757,57.50439367311073,92.89982425307558,45.51845342706503,82.81195079086116,4.358523725834798,16.028119507908613,68.15465729349737,41.335676625659055,4.2179261862917405,56.695957820738144,32.970123022847105,42.46045694200352,58.734622144112485,82.74165202108964,NS2B-NS3
668.7960000000003,1.784470000000005,8,8,2.0,0.053224422244533394,3,227.54,0,3,0,0.6419325,0.12777926,0.3352634,0.009982584,0.058154833,0.016763872,0.026240572,0.07579901,0.30239695,0.37803084,0.59670675,0.086866304,0.20500553,0.20391878,0.33121523,0.10785065,0.13132437,0.023952316,0.040871292,0.08714796,0.18630172,0.011517642,0.0650837,0.09454235,0.12989369,0.057664692,0.01969973,0.026891897,0.15325472,0.48750702,0.77951586,-7.542844,-0.22218361,48.966564,-8.827068,-34.281204,2.6465976,-0.31886992,50.31891,-2.5586529,2.3977952,92.47803163444641,41.40597539543058,84.51669595782074,95.78207381370827,8.927943760984183,2.9525483304042184,76.60808435852373,94.51669595782074,47.59226713532514,96.62565905096662,37.188049209138846,88.64674868189807,9.52548330404218,10.474516695957822,30.228471001757473,42.46045694200352,11.388400702987699,45.86994727592268,40.03514938488577,77.36379613356767,44.07732864674868,85.51845342706504,26.432337434094904,70.47451669595783,34.97363796133568,12.829525483304044,90.22847100175748,93.00527240773287,51.84534270650264,60.105448154657296,84.9560632688928,81.75746924428823,60.246045694200355,15.043936731107207,52.37258347978911,50.896309314587,79.08611599297014,54.6572934973638,46.08084358523726,80.14059753954307,44.9560632688928,77.4340949033392,4.147627416520211,15.079086115992972,67.97891036906854,8.822495606326891,4.253075571177504,62.95254833040423,25.729349736379614,28.400702987697716,60.35149384885765,58.48857644991213,NS2B-NS3
680.8320000000002,1.6539700000000046,9,8,2.0,0.049128418080764666,3,236.77,0,3,0,0.53903043,0.1087147,0.36161458,0.0053885826,0.058108486,0.019729102,0.034271996,0.07577182,0.28555557,0.4501194,0.7697992,0.0721106,0.23199356,0.2648775,0.503901,0.08948944,0.12505144,0.02929531,0.048053414,0.06981105,0.14390299,0.01103951,0.08480434,0.1717309,0.14786217,0.049020752,0.022507086,0.031759404,0.15946467,0.39406925,0.8531662,-7.6485147,6.3261824,54.215393,-9.0342,-35.06456,2.4433045,-0.5392213,48.0599,-2.568322,2.649755,92.68892794376099,39.68365553602812,88.08435852372584,95.78207381370827,8.927943760984183,2.741652021089631,76.60808435852373,94.76274165202109,47.59226713532514,96.62565905096662,37.188049209138846,82.00351493848858,8.154657293497365,11.17750439367311,25.13181019332162,42.35500878734622,12.583479789103691,49.876977152899826,40.03514938488577,76.41476274165203,50.43936731107206,90.19332161687171,22.70650263620387,73.25131810193322,40.702987697715294,15.53602811950791,89.49033391915643,92.75922671353253,55.04393673110721,62.70650263620387,81.51142355008788,72.9701230228471,59.648506151142364,16.485061511423552,59.89455184534271,54.13005272407733,77.25834797891038,57.22319859402461,48.26010544815466,80.8084358523726,32.89982425307557,83.02284710017575,3.9015817223198597,21.370826010544818,71.66959578207381,8.541300527240773,4.182776801405976,50.05272407732865,23.374340949033392,26.5377855887522,60.17574692442883,60.00000000000001,NS2B-NS3
719.6960000000001,2.9521700000000033,8,8,2.0,0.052081538999501395,3,227.54,0,3,0,0.6060603,0.14861049,0.36641648,0.04692288,0.12909283,0.03168691,0.0772084,0.09590466,0.49764347,0.5135769,0.8368064,0.13878353,0.24493358,0.3248016,0.4533965,0.13318513,0.09723135,0.049267586,0.10448112,0.0874148,0.14146395,0.030914072,0.13957396,0.23077436,0.2666412,0.09114897,0.056476496,0.07569418,0.29030788,0.4706266,0.8906945,-7.3525724,4.0589623,49.090256,8.452312,-33.906433,2.6264234,0.3515163,67.75752,-2.7392068,7.140401,93.1810193321617,60.52724077328647,84.51669595782074,95.78207381370827,8.927943760984183,2.9173989455184537,76.60808435852373,94.51669595782074,47.59226713532514,96.62565905096662,37.188049209138846,86.32688927943762,10.61511423550088,11.353251318101934,46.151142355008794,56.59050966608085,16.379613356766257,61.93321616871705,46.115992970123024,85.09666080843586,57.57469244288225,92.44288224956064,42.741652021089635,74.62214411247804,44.9560632688928,14.903339191564148,91.38840070298771,90.72056239015818,62.46045694200352,75.88752196836556,84.99121265377856,72.44288224956064,73.95430579964851,19.332161687170476,64.3585237258348,68.01405975395431,84.71001757469244,74.79789103690686,60.31634446397189,90.08787346221442,43.057996485061516,85.83479789103691,4.639718804920914,18.629173989455186,68.04920913884007,37.152899824253076,4.428822495606327,61.652021089630935,35.571177504393674,43.690685413005276,56.90685413005273,82.53075571177506,NS2B-NS3
712.7740000000003,2.602670000000006,7,8,2.0,0.05223326662318806,3,227.54,0,3,0,0.47860804,0.12640035,0.405157,0.0055251797,0.04556898,0.018279688,0.022774514,0.07775748,0.27580872,0.44736618,0.7065806,0.06783149,0.2311316,0.25250915,0.39970043,0.0815081,0.13044566,0.016049687,0.055174626,0.07694409,0.18809852,0.014990491,0.099958435,0.20487842,0.14591256,0.048365556,0.02023259,0.048867416,0.16228648,0.40583605,0.83719456,-7.4893427,0.4990593,51.313072,2.7257457,-33.159523,2.5609467,0.3118294,64.73741,-2.9782891,1.9400527,93.11072056239017,54.44639718804921,79.85940246045695,95.78207381370827,8.927943760984183,2.9173989455184537,76.60808435852373,94.51669595782074,47.59226713532514,96.62565905096662,37.188049209138846,77.22319859402461,9.455184534270652,12.759226713532515,25.27240773286468,38.91036906854131,12.02108963093146,43.30404217926187,40.63268892794377,76.13356766256591,50.26362038664324,88.6115992970123,21.33567662565905,73.21616871704745,39.57820738137083,13.919156414762742,88.89279437609842,92.93497363796135,46.36203866432338,65.65905096660809,82.8822495606327,81.93321616871705,64.21792618629175,17.363796133567664,62.636203866432346,53.67311072056239,76.87170474516697,55.36028119507909,54.48154657293498,81.12478031634447,34.692442882249566,81.8980667838313,4.323374340949034,15.430579964850617,69.8066783831283,26.713532513181022,4.639718804920914,57.25834797891037,34.86818980667839,40.66783831282953,53.25131810193322,54.72759226713533,NS2B-NS3
729.7020000000002,2.4078700000000053,8,8,2.0,0.05181253010522355,3,227.54,0,3,0,0.6135689,0.14034481,0.34043527,0.021924846,0.08297034,0.022332398,0.0397318,0.082036555,0.42157584,0.41398072,0.6702239,0.113372125,0.2219456,0.23523912,0.3474587,0.11619858,0.118530296,0.031654023,0.056828957,0.08884408,0.17527807,0.016590226,0.0813125,0.13942143,0.16504666,0.06526793,0.027812848,0.03887845,0.18414286,0.49276334,0.8215278,-7.4947877,0.8076607,47.101112,5.9623466,-34.328976,2.568341,0.046310138,62.280537,-2.612467,5.972827,93.28646748681899,50.72056239015818,84.51669595782074,95.78207381370827,8.927943760984183,2.882249560632689,76.60808435852373,94.51669595782074,47.59226713532514,96.62565905096662,37.188049209138846,86.74868189806679,10.193321616871705,10.650263620386644,37.99648506151143,48.646748681898075,13.602811950790862,51.9859402460457,42.21441124780317,82.7768014059754,47.697715289982426,87.45166959578208,34.44639718804921,72.54833040421794,37.99648506151143,13.04042179261863,90.68541300527241,92.40773286467487,56.379613356766264,66.29173989455185,85.20210896309315,80.14059753954307,65.37785588752197,16.30931458699473,56.97715289982426,56.94200351493849,80.45694200351494,60.73813708260106,51.66959578207382,83.02284710017575,45.377855887521974,80.77328646748683,4.323374340949034,15.53602811950791,66.74868189806679,32.72407732864675,4.253075571177504,57.89103690685413,31.564147627416524,38.277680140597546,59.613356766256594,78.6291739894552,NS2B-NS3
